"Adresse";"Code_Postal";" Ville";"Pays";" Coord_GPS";" Remarque"
"zone piétonne , rue George Road";"6560";"Wilderness";"Afrique du sud";"-33.9941029, 22.5754099";"boite située derrière le magasin Kwikspar dans la zone piétonne à Wilderness en Afrique du Sud"
"Feldbergstraße 1,";"65527";"Niedernhausen";"Allemagne";"50.1621429, 8.3180255";"Ancienne cabine téléphonique sur la place en face du magasin Tegut"
"Feldbergstraße 1,";"65527";"Niedernhausen";"Allemagne";"50.1621429, 8.3180255";"Ancienne cabine téléphonique sur la place en face du magasin Tegut"
" Virrey Loreto 3530 ";"C1426DYP CABA";"Buenos Aires";"Argentine";"-34.5774905, -58.457718";"Biblioteca al Paso, Buenos Aires, Argentine"
"Auweg 2";"6130";"Pill";"Autriche";"47.3208789, 11.6816151";"Schöner Bücherschrank bei den öffentlichen Toiletten"
"Max Kerber Platz 1";"6600";"Breitenwang";"Autriche";"47.487901, 10.7323806";"schöne Telefonkabine"
"Krumpendorf am Wörthersee Bahnhof";"9201";"Krumpendorf am Wörthersee";"Autriche";"46.626333, 14.221512";"Im Bahnhof steht ein Regal und auch im Außenbereich"
"Hoher Platz 9";"9400";"Wolfsberg";"Autriche";"46.839516, 14.8449616";"Telefonkabine"
"Bahnhofstraße";"A 6380";"St. Johann i.Tirol";"Autriche";"47.5211715, 12.4308434";"Parkbibliothek"
"Hoher Platz";"A 9500";"Wolfsberg";"Autriche";"46.8394357, 14.8446485";"Telefonkabine"
"Museumstraße 38A";"A-6020";"Innsbruck";"Autriche";"47.2661991, 11.4042502";"Schöner öffentlicher Bücherschrank im  2. OG"
"Munt 6";"1000";"Bruxelles";"Belgique";"50.8496678,4.3534132";
"Place Flagey 18";"1050";"Bruxelles";"Belgique";"50.8271016,4.372799";
" Rue d'Edimbourg 26,";"1050";"Ixelles";"Belgique";"50.8378953, 4.3643221";"Dans les Locaux de Mundo-B juste à l'entrée"
"Rue ducpetiaux 133";"1060";"Saint-Gilles";"Belgique";"50.8223824, 4.3454917";"Située devant une plaine de jeux"
"Rue du Chapelain, 1-7";"1070";"Bruxelles";"Belgique";"50.8369712,4.3069531";
"Rue du Chapelain, 1-7";"1070";"Bruxelles";"Belgique";"50.8369712,4.3069531";"Bibliothèque de l?Espace Maurice Carême"
"De Rinck Dapperheidsplein 7";"1070";"Bruxelles";"Belgique";"50.835600,4.306795";"Gemeenschapcentrum De Rinck"
"383 rue vanderkindere straat";"1180";"uccle";"Belgique";"50.814245, 4.3605296";"C'est la tendance du livre gratuit. N'hésitez pas à utiliser cette boîte à livre!"
"Rue des écoles";"1300";"Wavre";"Belgique";"50.69557415219667, 4.548232555389405";"Située dans le tunnel sous la voie ferrée à 600m de la gare de Profondsart"
"Grand Place";"1348";"Louvain-la-neuve";"Belgique";"50.6694065, 4.6117473";"Mise à disposition par la Maison du Développement Durable"
"Place de l'Accueil 10";"1348";"Ottignies-Louvain-la-Neuve";"Belgique";"50.6714831, 4.6177932";"Dans l'étage inférieur du centre commercial L'Esplanade"
"Rue du Château 13";"1370";"Jodoigne";"Belgique";"50.7242958,4.8669286";"Une boite à côté d'un banc  dans un joli petit parc. Lire est un plaisir bien tentant!"
"Zegelaan";"3001";"Heverlee";"Belgique";"50.8659236, 4.7058925";"Jolie petite cabanette avec des livres en français anglais flamand et autres J en ai même trouvé un en hongrois une fois."
"46 place Vivegnis";"4000";"Liège";"Belgique";"50.6528027, 5.5896167";"A l entrée de la Bibliothèque Saint Léonard, "
"74 rue Maghin";"4000";"Liège";"Belgique";"50.6509034, 5.5882625";"Dans la salle d attente de la Maison Médicale Saint Léonard "
"Place Cockerill";"4000";"LIEGE";"Belgique";"50.6415738, 5.5753666";"Pour les étudiants, dans la cafétéria de l Université de Liège."
"rue de l Hotel de ville";"4031";"Angleur";"Belgique";"50.6128114, 5.5855771";"Dans le hall d entrée de la maison communale"
"Avenue de la Cité Wauters 35 B";"4040";"Herstal";"Belgique";"50.685215,5.641132";
"rue Henri Nottet 11";"4040";"Herstal";"Belgique";"50.665596,5.610728";
"Rue Large Voie 9";"4040";"HERSTAL";"Belgique";"50.6657314, 5.6316582";"Boîte à livres dans le salon de coiffure Soho"
"rue de la Renaissance 11";"4041";"Milmort";"Belgique";"50.688283,5.593838";
"Avenue des Thermes";"4050";"Chaudfontaine";"Belgique";"50.5861239, 5.6418902";"Dans le parc O.Rama"
"Avenue du Centenaire";"4053";"Embourg";"Belgique";"50.5931633, 5.6115519";"Dans le parc Jean Gol."
"Rue du Tribunal";"4100";"Manosque";"Belgique";"43.8306989,5.7855276";"En face de la poste  installée par La Communauté de Communes DLVA"
"Promenade Joseph Aubert Millot";"4100";"Manosque";"Belgique";"43.83216,5.784845";"Près de la Porte de la Saunerie  installée par La Communauté de Communes DLVA"
"Place Saint Sauveur";"4100";"Manosque";"Belgique";"43.8325987,5.7836794";"Devant l'église  installée par La Communauté de Communes DLVA"
"Place Marcel Pagnol";"4100";"Manosque";"Belgique";"43.834773,5.782824";"Installée par La Communauté de Communes DLVA"
"34 rue Elemir Bourges";"4100";"Manosque";"Belgique";"43.8332308,5.781261";"Devant le Bar des Boulomanes."
"Avenue des Puddleurs";"4100";"Seraing";"Belgique";"50.581566,5.48671";
"Avenue du Gerbier 6";"4100";"Boncelles";"Belgique";"50.571206,5.536189";
