Adresse;Code_Postal; Ville; Pays; Coord_GPS; Remarque
776 chemin des crozes;30720;Ribaute les Tavernes;France;44.0415188, 4.098213;
Place du marché;93360;Neuilly Plaisance;France;48.8677124,2.5147925;
rue Jean Le Coz;92500;Reuil Malmaison;France;48.8755359,2.1790034;
Jardin d'usage Rue Louis-Le-Nain;44000;Nantes;France;47.2261214,-1.5990549;
Square Jim-Howart;44330;Vallet;France;47.160929,-1.265138;
Rue de la Bouvaque;59112;Annœullin;France;50.5318517,2.9284693;
Hameau de Sec-Bois;59232;Vieux-Berquin;France;50.708467,2.599357;
35 Avenue du 8 Mai 1945;69160;Tassin-la-Demi-Lune;France;45.7603426,4.771071;
Place de la Paix;69200;Vénissieux;France;45.6988679,4.884642;
49 rue Professeur Roux;69200;Vénissieux;France;45.72666,4.8578828;
45 Boulevard Lénine;69200;Vénissieux;France;45.6924762,4.8646407;Elle n'existe plus
Square Matringe;69190;St Fons;France;45.708874,4.853374;
Place Hyppolite Péragut ;69160;Tassin-La-Demi-lune;France;45.76134,4.7768139;
Parc de l’Etoile;69160;Tassin-La-Demi-lune;France;45.7550852,4.7767261;
Gare d’Ecully-La-Demi-Lune;69160;Tassin-La-Demi-lune;France;45.7657217,4.7773353;
Rue Louis Armand;74000;Annecy;France;45.9181513,6.1311601;
100 route de Vienne;69008;Lyon 8ème;France;45.7378432,4.8519008;
11 Rue Général de Gaulle;69530;Brignais;France;45.6753398,4.7650074;
Jardin de Saint-Gènes;33000;Bordeaux;France;44.8250036,-0.5819971;
4 Rue du Dr Castéra;33290;Blanquefort;France;44.9103382,-0.6327907;
Place Saint Ahon ;33290;Caychac;France;44.9272253,-0.6360835;
Parc des coteaux;33530;Bassens;France;44.899835,-0.516238;
Rue Gérard Philippe;35200;Rennes;France;48.092047,-1.653398;
Centre bourg;86170;Yversay;France;46.676702,0.217694;
20 Avenue Maximilien Robespierre;94400;Vitry-sur-seine;France;48.7905536,2.387926;
Place du Marché aux Poissons;54200;Toul;France;48.6747441,5.8901794;Boite a livre avec beaucoup de choix, renouvellement rapide.
rue des dunes;14150;Ouistreham;France;49.2834, -0.2506346;Au bord de la piste cyclable qui longe la gare maritime.
 4 rue saint Nazaire;84380;Mazan;France;44.0566564,5.1275576;
